track_id,track_name,track_artist,track_album_name,track_album_release_date,playlist_genre,playlist_subgenre,energy,tempo,danceability,loudness,liveness,valence,speechiness,acousticness,instrumentalness,track_popularity,duration_ms,mode,key,time_signature,release_year,release_month,release_quarter,playlist_specified_genre
1AWQoqb9bSvzTjaLralEkT,Rock Your Body,Justin Timberlake,Justified,2002-11-01,pop,throwback,0.714,100.972,0.892,-6.055,0.0521,0.817,0.141,0.201,0.000234,78,267267,0,4,4,2002,11,4,pop_throwback
2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-01,pop,throwback,0.814,124.921,0.707,-4.509,0.168,0.717,0.0577,0.0861,0.0,78,238627,0,11,4,2008,6,2,pop_throwback
2goLsvvODILDzeeiT4dAoR,Believe,Cher,Believe,1998-01-01,pop,throwback,0.917,132.975,0.652,-6.72,0.0509,0.459,0.0548,0.0082,0.0,78,239027,1,6,4,1998,1,1,pop_throwback
7HW5WIw7ZgZORCzUxv5gW5,Don't Go Breaking My Heart,"Elton John, Kiki Dee",Rock Of The Westies,1975-10-01,pop,throwback,0.844,131.459,0.729,-8.824,0.0604,0.777,0.0344,0.149,2.87e-06,78,275440,1,5,4,1975,10,4,pop_throwback
3E7ZwUMJFqpsDOJzEkBrQ7,Can't Get You out of My Head,Kylie Minogue,Fever,2001-10-01,pop,throwback,0.563,126.007,0.766,-7.516,0.115,0.964,0.0339,0.0263,0.683,78,230640,0,9,4,2001,10,4,pop_throwback
0k2GOhqsrxDTAbFFSdNJjT,Temperature,Sean Paul,The Trinity,2005-09-01,pop,throwback,0.6,125.04,0.951,-4.675,0.0712,0.822,0.0685,0.106,0.0,78,218573,0,0,4,2005,9,3,pop_throwback
51ODNNDZm21HU7wI7cccRr,Latch,"Disclosure, Sam Smith",Settle (Special Edition),2013-06-01,pop,throwback,0.726,121.981,0.503,-5.456,0.0895,0.529,0.167,0.0159,7.98e-05,78,255632,1,1,4,2013,6,2,pop_throwback
4w3tQBXhn5345eUXDGBWZG,9 to 5,Dolly Parton,9 To 5 And Odd Jobs,1980-07-01,pop,throwback,0.783,105.39,0.554,-5.852,0.631,0.813,0.0457,0.416,1.54e-06,78,162467,1,6,4,1980,7,3,pop_throwback
0cqRj7pUJDkTCEsJkx8snD,Shake It Off,Taylor Swift,1989 (Deluxe),2014-01-01,pop,throwback,0.8,160.078,0.647,-5.384,0.334,0.942,0.165,0.0647,0.0,78,219200,1,7,4,2014,1,1,pop_throwback
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,Rihanna,Music Of The Sun,2005-08-01,pop,throwback,0.64,99.017,0.779,-8.415,0.101,0.499,0.159,0.000155,0.000766,78,246960,1,7,4,2005,8,3,pop_throwback
49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,Modjo,Modjo (Remastered),2001-08-01,pop,throwback,0.808,126.041,0.72,-5.627,0.0634,0.869,0.0379,0.00793,0.0293,77,307154,1,6,4,2001,8,3,pop_throwback
6kWJvPfC4DgUpRsXKNa9z9,All That She Wants,Ace of Base,The Sign,1993-12-01,pop,throwback,0.625,93.764,0.798,-9.689,0.103,0.858,0.0548,0.00547,7.98e-05,77,211213,1,11,4,1993,12,4,pop_throwback
5UqCQaDshqbIk3pkhy4Pjg,Levels - Radio Edit,Avicii,Levels,2011-10-01,pop,throwback,0.889,126.04,0.584,-5.941,0.309,0.464,0.0343,0.0462,0.828,77,199907,0,1,4,2011,10,4,pop_throwback
5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-01,pop,throwback,0.654,117.046,0.92,-3.051,0.036,0.847,0.0401,0.0236,0.0153,77,293827,0,11,4,2008,2,1,pop_throwback
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),"Pitbull, Christina Aguilera",Global Warming: Meltdown (Deluxe Version),2012-12-01,pop,throwback,0.758,135.956,0.673,-3.632,0.341,0.542,0.158,0.039,0.0,77,229507,1,7,4,2012,12,4,pop_throwback
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),"Beyoncé, JAY-Z",Dangerously In Love,2003-06-01,pop,throwback,0.77,99.165,0.646,-6.596,0.0715,0.681,0.226,0.00249,0.0,77,236133,0,2,4,2003,6,2,pop_throwback
3bidbhpOYeV4knp8AIu8Xn,Can't Hold Us (feat. Ray Dalton),"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",The Heist,2012-10-01,pop,throwback,0.922,146.078,0.641,-4.457,0.0862,0.847,0.0786,0.0291,0.0,76,258343,1,2,4,2012,10,4,pop_throwback
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,Pink Friday: Roman Reloaded The Re-Up (Explicit Version),2012-01-01,pop,throwback,0.716,125.006,0.747,-2.457,0.251,0.751,0.0751,0.135,0.0,76,210627,0,11,4,2012,1,1,pop_throwback
6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,"Blackstreet, Dr. Dre, Queen Pen",Another Level,1996-09-01,pop,throwback,0.646,88.634,0.867,-4.674,0.279,0.67,0.288,0.303,0.0,76,304600,0,1,4,1996,9,3,pop_throwback
05wIrZSwuaVWhcv5FfqeH0,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1985-02-01,pop,throwback,0.87,109.901,0.597,-11.97,0.0678,0.944,0.0371,0.0119,0.166,76,238733,1,10,4,1985,2,1,pop_throwback
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),"Pitbull, Chris Brown",Planet Pit (Deluxe Version),2011-06-01,pop,throwback,0.855,120.05,0.67,-3.035,0.335,0.648,0.0499,0.0124,0.0,77,227280,0,0,4,2011,6,2,pop_throwback
2TxCwUlqaOH3TIyJqGgR91,Mamma Mia,ABBA,Abba,1975-09-01,pop,throwback,0.748,137.547,0.749,-7.011,0.469,0.827,0.0323,0.295,0.000443,76,213267,1,2,4,1975,9,3,pop_throwback
3L7RtEcu1Hw3OXrpnthngx,Don't You Want Me,The Human League,Dare!,1981-11-01,pop,throwback,0.738,117.656,0.731,-8.125,0.214,0.958,0.0377,0.184,0.0,76,236920,0,9,4,1981,11,4,pop_throwback
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016-05-01,pop,throwback,0.83,113.03,0.666,-5.715,0.191,0.702,0.0751,0.0123,0.0,76,236002,1,0,4,2016,5,2,pop_throwback
6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire, The Emotions",I Am,1979-06-01,pop,throwback,0.756,131.715,0.802,-10.791,0.0521,0.963,0.0349,0.0843,0.00765,76,288293,0,2,4,1979,6,2,pop_throwback
